database_identifier,chemical_formula,smiles,inchi,metabolite_identification,mass_to_charge,fragmentation,modifications,charge,retention_time,taxid,species,database,database_version,reliability,uri,search_engine,search_engine_score,smallmolecule_abundance_sub,smallmolecule_abundance_stdev_sub,smallmolecule_abundance_std_error_sub,Breast_1,Breast_10,Breast_11,Breast_12,Breast_13,Breast_14,Breast_15,Breast_16,Breast_17,Breast_18,Breast_19,Breast_2,Breast_20,Breast_21,Breast_22,Breast_23,Breast_24,Breast_25,Breast_26,Breast_27,Breast_28,Breast_3,Breast_4,Breast_5,Breast_7,Breast_8,Breast_9,control_1,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_2,control_20,control_21,control_22,control_23,control_24,control_25,control_26,control_27,control_28,control_29,control_3,control_30,control_4,control_5,control_6,control_7,control_8,control_9,QC01,QC02,QC03,QC04,QC05,QC06,QC07
CHEBI:72772,C6H13NO2,CC(C)C(N)CC(O)=O,"InChI=1S/C6H13NO2/c1-4(2)5(7)3-6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)",Beta-Leucine,130.0874427,,,,290.5015,,,,,,,,,,,,49653317.71,28801562.6,45182708.25,36463081.35,36293045.14,26519422.05,40350389.34,33669281.94,31526049.1,24825609.76,31927241.01,24703383.49,21313781.74,27230943.32,35648841.19,91600546.58,29890549.12,32529946.35,43258349.39,18185690.15,24342680.66,39083954.47,30289057.12,27331515.06,24819378.59,27227765.16,34027488.72,35326254.68,40499922.4,36546059.87,37442538.12,34788270.49,32396409.69,27741264.42,39678024.28,27139764.73,30834178.21,36204695.98,33475819.94,29799671.43,30278662.53,36599379.05,22790518.97,33570489.47,27728071.39,33598692.71,34759026.48,25899048.75,29071618.79,30906399.81,29141473.58,27188374.58,28759790.62,35747908.13,31476506.49,30184171.14,30653560.31,36326594.69,34877266.8,34496829.39,34008236.67,36210970.37,37053756.92,34420676.85
CHEBI:15756,C16H32O2,CCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",Palmitic acid,255.2327103,,,,43.5862,,,,,,,,,,,,2229258449,1548941919,2832396786,1314610645,1953676081,1827953134,2923661532,1615369385,1676927582,1239477528,2069910765,1744655388,585334250,965690530.2,826426964.1,2151390540,1717671660,776410604.4,2993147086,1085586534,1130669326,1434463314,1446076512,1881563625,1186932616,2215244461,1772381167,3704054780,798063502.8,2214922803,939583178,2557399983,666015288.2,2041219656,2013411149,1671788997,2183652632,1022781287,1737171638,1286952057,2253528955,1844695706,2619441037,1823553547,1607543647,3028153492,1315143303,1555582534,2703463226,1672706279,2611322601,1922521315,3047840666,1903271400,1866646261,1558570262,1655391328,1790296836,2519856132,1652180415,2446252990,2421321611,2473511569,1776291736
CHEBI:30768,C3H6O2,CCC(O)=O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",Propionic acid,73.02955033,,,,105.431,,,,,,,,,,,,9548191.076,7679734.511,9557213.76,12084986.36,10280136.17,8280533.777,13475562.99,6627968.999,6482127.461,10914756.84,8504408.846,12637153.22,13480856.44,9021366.385,8859274.466,9604121.051,10680408.71,11507639.17,13067752.19,7892015.611,13638825.47,8267049.206,11322015.88,19360978.23,5552935.909,10005431.47,6725145.467,10265855.96,8537737.513,10106842.97,8829939.16,10849399.14,7289556.533,6699213.506,12910683.15,7764859.588,13266569.54,10634605.65,9961345.56,30129912.64,17667718.93,11074764.69,11153615.15,12495779.44,7507817.332,10185316.23,29855238.33,8376976.626,10428838.76,16577570.1,12548934.79,11604152.65,7844384.243,12951667.66,13796724.41,12009365.78,34800215.43,11138609.35,5372153.008,8918455.292,13644443.77,11338327.24,11904710.28,8201631.396
CHEBI:16196,C18H34O2,CCCCCCCC\C=C/CCCCCCCC(O)=O,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",Oleic acid,281.2478437,,,,41.31975,,,,,,,,,,,,2887426246,2390481610,2874821553,1068000059,2187206688,3318518725,2563793780,2451726462,2295424101,2206518906,3772565502,2946964050,714534052.7,1489875519,761011423.2,3400153757,3123870345,922555789.5,3954382784,1743811431,783690591.7,2456935780,2647270511,2255873340,2031529367,3869827327,4240930855,3245463395,1055409832,2855526923,1646341479,2932161550,774817646.3,3437355524,1965645538,2156589286,3351025099,1511514655,1934811609,1479827213,1504459512,1934588061,3223675173,2321521512,2356477105,4710141673,1784019811,2201388337,2554742692,1891928660,5036911044,2175982647,4136188997,2247842450,2182125106,2853153108,2859611268,2286918898,2298837038,2364202126,2447117070,2447404548,3654046476,2569535895
CHEBI:28716,C16H30O2,C(CCCCCCC/C=C\CCCCCC)(=O)O,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-",Palmitoleic acid,253.217655,,,,44.2393,,,,,,,,,,,,330523447,211246936.9,391568540.3,140826254.8,159614967.2,370182571.9,288045369.4,315214757.3,177718426,241959912,389461979.4,227486779.5,80987235.67,146450105.3,77929081.07,231410983.9,348452073,70626309.85,221072300.5,133085583,116276241.7,353510712.2,325458008.9,271163945.8,234501346.1,316130797.7,431217542.5,257035082.4,85218659.46,197423747.9,243753507.7,272789428.5,105561249.2,302545654.1,232116619,214708519.8,483154577.9,144554833.4,264697550.8,177752637.4,153716345,188484862.1,423989252.9,186145121.9,262270484.2,752131311.2,354205488.4,247672677.7,214620609.3,134458430.8,544960088.6,146512844.3,398702584.5,561339059.2,234454243.1,203176968.7,271040260.8,254871448.9,284869946.4,239987244,348632863.6,275346469,369141031,379181923
CHEBI:44526,C18H32O2,CCCCC\C=C/C=C/CCCCCCCCC(O)=O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-9H,2-5,10-17H2,1H3,(H,19,20)/b7-6-,9-8+","10E,12Z-Octadecadienoic acid",279.2325935,,,,42.5745,,,,,,,,,,,,3943854787,1826278854,1745646470,1257263368,1600557554,2664699678,3217704207,2680904283,1214083764,1409188103,2139676428,2955829706,881819994,1189945529,478610135.1,1734338888,1398209561,939179844.2,2463417539,1311833600,1082203115,2193328098,1556508077,3040010788,1179377268,3933634875,2806189686,2267121373,1146912542,1923277610,1878799207,2614241496,786990835.5,2085306510,2082252100,1922358170,1781363138,1340080809,2200600471,1402027599,1797797325,1297911033,3106312781,2556720299,1577457709,2254152087,2181097120,1299368191,2097602181,1774192996,3734877772,1816168942,2762858695,2415992222,2242407449,2207387417,1747702547,1713587856,1685764913,1793703292,1831884617,1756124162,1796318332,2742196968
CHEBI:28054,C7H8O,Cc1ccccc1O,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",o-Cresol,107.0444652,,,,50.57105,,,,,,,,,,,,2156922.664,1093883.764,1032440.154,1509028.966,1510917.522,1314469.219,2065734.898,1524572.816,1065141.535,763216.6976,1038768.984,1065400.21,1779590.107,886483.4303,883334.9404,1446840.931,1305570.214,1254790.271,1713243.557,550224.0626,786362.5096,947127.9168,1338570.669,1390665.33,1146500.346,1422813.166,1763510.407,1486762.488,1121444.86,562661.6234,1326758.12,991223.9964,1548797.519,479729.7898,159103.9671,1639901.18,1695672.008,1046515.51,1107997.198,1203390.776,817477.4406,1271542.479,532527.2958,696744.1245,1157851.691,596950.7165,1113450.884,1273586.979,1019120.192,1624373.61,1054792.857,1285292.233,1537080.974,563455.7772,1212174.827,500160.6046,703512.4749,989447.3985,532958.7415,1136483.643,585192.1082,2101863.255,1679709.779,2163875.07
CHEBI:73731,C20H36O2,CCCCC\C=C/C\C=C/CCCCCCCCCC(O)=O,"InChI=1S/C20H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10H,2-5,8,11-19H2,1H3,(H,21,22)/b7-6-,10-9-",Eicosadienoic acid,307.2644774,,,,38.71775,,,,,,,,,,,,32745550.76,24845354.9,36022743.37,14696948.25,23305298.43,37743216.04,22732436.57,19904361.69,32173686.44,26589836.81,44533069.3,35516506.44,12095428.01,19948274.28,11441809.87,82054796.36,23406049.61,5676712.785,43692729.05,17643807.97,7646807.934,28045709.07,34171931.99,19660178.06,21092767.21,36396040.54,44295796.9,40409743.37,10367573.42,13107085.41,14420694.11,20935316.55,10174972.33,41396603.01,14349341.23,21591112.24,25977237.53,18165124.12,21558562.59,10405883.78,17341717.23,20653866.5,31339087.74,25738620.48,16635940.25,35447843.21,24974689.84,23453375.29,25159616.81,18686949.92,29707129.68,11329534.35,35599760.79,15923407.16,24146163.29,41043534.86,23844955.64,28401518.9,21096952.05,23603590.01,19983220.09,29878598.74,29083728.22,21231465.74
CHEBI:32816,C6H8O6,CC(=O)C(O)=O,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)",Pyruvic acid,87.00873588,,,,174.524,,,,,,,,,,,,44833449.19,108691133.1,130537248.4,160822733.3,62963859.44,159695053.2,2215500.837,1298157.295,89190120.23,95091608.19,130691775.1,95822402.86,158387884.5,152779076.9,155720839.1,74616512.55,47236090.26,105430547.9,78543604.46,64818668,78344239.1,157462190.2,81741026.79,92008771.2,98027535.07,55784873.88,130490162.8,20879363.3,83235447.88,82232346.09,102887977.1,64992344.37,116843671.6,69220048.37,88796940.58,66424669.58,94092033.29,82771784.67,176478662.1,115971529.7,84912140.83,91671194.26,65238790.68,109665160.4,81354712.31,88632094.19,86219273.43,56753458.85,80555002.39,96030891.81,78375420.23,31392130.67,71062120.85,108409870.1,127603723.4,135230181.6,98466139.72,104819146.9,96215069.17,97328490.55,90891675.94,110637265,107828932.5,96079069.62
CHEBI:16977,C3H7NO2,C[C@H](N)C(O)=O,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",L-Alanine,88.0404324,,,,360.4265,,,,,,,,,,,,28860410.88,17126595.07,31594924.35,46570207.41,31185072.3,21873347.39,26958056.37,23323312.17,30043913.63,18530481.06,35206318.17,18736521.69,29872928.92,31060029.76,31785095.19,27497766.25,20302311.67,25126585.24,22212821.59,9797250.504,20510602.22,30082071.88,22136641.54,21335114.1,30584677.1,11435345.65,26433974.58,30027366.36,29250711.86,24888241.98,26103896.6,27760476.4,31855662.4,20053599.43,32886346.05,25569295.1,28164490.48,23948908.93,30356198.07,30520205.03,28964496.23,27894079.76,16489722.47,27296689.71,22343088.87,26326303.5,29722868.02,21987463.21,21671412.25,27057296.76,17914207.1,28843694.43,21363353.14,32560007.27,33558129.29,25491767.69,19271249.04,28676533.71,28306936.95,27390599.06,28085378.9,28663179.79,30028000.71,29677663.39
