database_identifier,chemical_formula,smiles,inchi,metabolite_identification,mass_to_charge,fragmentation,modifications,charge,retention_time,taxid,species,database,database_version,reliability,uri,search_engine,search_engine_score,smallmolecule_abundance_sub,smallmolecule_abundance_stdev_sub,smallmolecule_abundance_std_error_sub,Breast_1,Breast_10,Breast_11,Breast_12,Breast_13,Breast_14,Breast_15,Breast_16,Breast_17,Breast_18,Breast_19,Breast_2,Breast_20,Breast_21,Breast_22,Breast_23,Breast_24,Breast_25,Breast_26,Breast_27,Breast_28,Breast_3,Breast_4,Breast_5,Breast_7,Breast_8,Breast_9,control_1,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_2,control_20,control_21,control_22,control_23,control_24,control_25,control_26,control_27,control_28,control_29,control_3,control_30,control_4,control_5,control_6,control_7,control_8,control_9,QC01,QC02,QC03,QC04,QC05,QC06,QC07
CHEBI:28619,C3H5NO,MTBLS6894,"InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)",Acrylamide,72.04424379,,,,37.0519,,,,,,,,,,,,11332429.49,5477129.05,7242943.019,5499227.027,4535318.103,4477904.629,1485624.04,3308941.925,681573.2106,1049959.477,759529.9574,2823683.64,715489.4429,1173879.661,1399831.179,2052195.823,1391498.922,1093241.666,553917.3967,924650.8513,1176411.419,6314878.405,9882689.704,7409025.963,4951364.913,4551432.797,11223944.18,2444595.564,3301898.346,3010116.457,3159151.835,4897499.115,5063998.688,2897698.117,3601833.089,2525346.922,1921757.651,2222948.881,4452361.096,2153917.867,2111892.041,2077722.807,3224879.668,2842744.821,2903829.877,4300464.543,3646640.56,1259515.392,1700258.452,3212714.548,4205224.354,3671722.311,3288165.198,3738958.679,3327358.108,2478127.755,979401.6919,3335100.005,3086969.402,3634066.546,3407570.858,3184115.937,3576828.652,3319273.251
CHEBI:17401,C6H18O24P6,,"InChI=1S/C6H18O24P6/c7-31(8,9)25-1-2(26-32(10,11)12)4(28-34(16,17)18)6(30-36(22,23)24)5(29-35(19,20)21)3(1)27-33(13,14)15/h1-6H,(H2,7,8,9)(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)/t1-,2-,3-,4+,5-,6-",Myo-inositol hexakisphosphate,660.868885,,,,294.623,,,,,,,,,,,,16468.18328,20064.03627,10869.07485,39965.81565,0,9818.013938,78561.49501,74347.3105,0,18049.95674,44714.07798,34950.76276,28469.17561,43591.04226,52845.51923,63999.73975,0,35302.29152,0,7294.746681,47534.46521,7134.867448,23633.65503,45726.87998,75074.30403,24024.59039,39308.90713,34316.84343,26357.09468,75445.60666,13944.31817,39183.49061,118277.2112,143047.1413,130444.3669,148097.186,69046.48774,48033.08655,91093.97292,52483.90029,58027.3603,13113.57988,41763.88279,17957.45233,44094.6009,93316.58753,78775.01394,24173.63581,120187.0455,33830.48919,109779.7385,88192.19593,90652.48283,66023.71144,47386.49623,46031.19883,5622.815917,38368.90155,35095.43336,42296.86275,69201.01524,53895.72134,42307.49573,49126.30547
CHEBI:35807,C2H6N2O,CN(C)N=O,InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3,N-Nitrosodimethylamine,75.05509242,,,,309.404,,,,,,,,,,,,4083649.64,2332000.908,3600750.699,2134537.535,3584972.735,2547320.227,3609102.535,3711536.333,2589919.385,2167201.53,2696064.528,3154690.461,1840968.76,2412826.738,2089278.014,3520550.047,2976430.302,2289289.57,2489670.099,2047593.948,2684846.814,2029317.823,3239502.041,3603546.065,4406051.826,2801970.308,2731788.512,2634322.272,2359031.939,2152888.049,3103352.825,3592136.01,2912339.964,3333821.023,3665072.719,3546614.386,3003520.712,2860352.568,2181071.722,3267594.126,3662083.495,2518541.889,1760693.13,3294035.184,2763223.781,3657255.498,2976196.257,4689591.32,3104076.315,3853229.411,3131320.143,2764115.153,3011879.331,2831017.618,2725477.344,3379209.174,2755569.492,2372528.032,2823893.155,2914722.322,3089487.312,2917793.484,3318919.06,3241128.489
CHEBI:41879,C22H29FO5,C1=CC(C=C2[C@]1([C@@]3([C@@](CC2)([C@]4([C@](C[C@@H]3O)([C@]([C@@H](C4)C)(C(CO)=O)O)C)[H])[H])F)C)=O,"InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15+,16+,17+,19+,20+,21+,22+/m1/s1",Dexamethasone,393.2082494,,,,71.17945,,,,,,,,,,,,32479276.7,25653069.82,34690690.84,30209505.64,24081154.53,27651626.36,36138919.57,42741207.12,23276270.06,26199473.33,26815285.96,30175868.94,28494258.35,31892511.16,39055064.17,34413091.85,40111625.75,28030709.3,36669624.91,22572230.97,42010800.44,50012996.33,34224483.33,62382489.9,49534248.19,33845392.85,77200620.35,30937657.83,27817234.69,41132329.83,25894149.6,36651187.1,33241834.16,41221467.05,35687736.64,36884335.33,34578439.7,30405249.25,38014776.4,27402710.96,29343212.76,26599710.36,38632675.98,38296933.42,42701303.79,65339013.18,37387057.3,56707712.6,43050537.18,32716383.15,36500878.16,44946760.08,36390762.75,40845138.71,39907648.9,26688884.91,22895913.59,32621565.04,33739342.57,35584280.05,36096662.7,44012037.72,38216595.68,38198084.15
CHEBI:19092,C4H7N,C1CC=NC1,"InChI=1S/C4H7N/c1-2-4-5-3-1/h3H,1-2,4H2",1-Pyrroline,70.06501788,,,,310.765,,,,,,,,,,,,2164928.112,5425240.133,5818980.481,8320695.959,17974940.18,9507740.239,4857957.621,7442628.694,7394839.685,7004659.659,12016874.39,15394739.18,6929705.801,9393707.93,7014254.192,9839012.956,8073631.474,9506468.625,14722149.76,5427532.335,6863771.592,17363323.2,6367645.632,6941379.483,8741310.172,6113284.544,4903736.592,5679300.565,18326734.11,7674300.729,15742434.26,12096606.04,16550782.3,19348214.06,12336091.69,9472018.456,9065109.35,9529374.417,7355456.006,7037672.148,8705959.838,13476378.87,10185083.57,17095429.53,8537931.222,8449888.465,21376835.12,9675055.144,7605225.741,10080403.37,12264721.29,9261378.92,12912836.92,8393860.996,7971421.214,8154861.447,8258662.339,9044941.153,6265375.379,14403727.41,9502992.289,8457981.686,9080940.36,7614743.354
CHEBI:175520,C27H32O5,O1C[C@](CC=2C1=CC(OC)=C(C2OC)CC=C(C)C)(C3=C4OC(C=CC4=C(O)C=C3)(C)C)[H],"InChI=1S/C27H32O5/c1-16(2)7-8-20-23(29-5)14-24-21(25(20)30-6)13-17(15-31-24)18-9-10-22(28)19-11-12-27(3,4)32-26(18)19/h7,9-12,14,17,28H,8,13,15H2,1-6H3/t17-/m0/s1",Kanzonol I,437.2335011,,,,75.73875,,,,,,,,,,,,29668443.97,25775324.61,35243150.02,29500083.37,24682923.46,30247486.41,32294628.24,41937729.21,22202375.16,27372477.66,25513449.36,30781993.83,28511299.43,30934808.36,40210086.43,34718414.53,41657682.72,28304325.04,36384434.57,21502099.79,33901063.72,38477690.55,31810349.52,55820799.84,46896449.02,33180597.39,72348719.83,32133093.68,27927961.31,40119889.73,26355573.16,39635992.57,34148121.6,38944964.43,34410213.51,36008338,36432988.33,27944029.78,37899499.5,29520634.22,27879285.79,26120537.17,41905808.02,37450536.79,40934678.78,65836033.83,39072119.5,52552930.93,45708095.41,30145838.48,34915361.55,53146095.97,38827409.84,34252069.7,42862572.94,25966000.91,21936354.99,32578879.39,26201063.07,25971832.81,37410798.09,42461843.99,40900276.08,42958408.95
CHEBI:17368,C5H4N4O,O=c1[nH]cnc2nc[nH]c12,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",Hypoxanthine,137.045493,,,,230.228,,,,,,,,,,,,45333.24373,587078.5338,1487938.651,1694156.855,5647096.213,715108.7291,35241733.01,26684345.23,3575316.048,2461449.048,1261894.189,751968.3725,4317881.218,2643989.299,3006095.906,47087865.48,28281586.13,518189.0427,4833389.211,5644341.272,1800516.696,1679049.928,11377993.68,1359601.716,4669204.552,5344992.376,5442348.963,3753308.585,2451206.743,494997.3634,7210111.249,1005518.613,7094758.635,2377573.273,187131.6648,784939.6561,0,1003420.773,927085.0916,3405345.108,108601.8727,1430139.211,2028968.34,6967130.82,3754029.453,2059669.209,2258728.824,1487576.032,987925.3294,2497328.53,387365.7869,1049691.836,2798542.908,1416510.828,4592140.923,1468422.558,3977324.439,4842566.449,5135597.586,5392888.033,5325694.65,4769328.669,5330271.112,5114986.153
CHEBI:16898,C4H4N2,c1cncnc1,InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H,Pyrimidine,81.04449961,,,,53.95465,,,,,,,,,,,,8338335.082,6398112.285,6353047.805,7489761.803,8510429.236,5976308.518,6922542.575,6069394.785,6056073.443,5841033.611,7197922.893,6616334.429,6003430.485,6679860.727,5795132.703,5399583.8,4021980.218,6012072.766,5699708.55,4237846.457,6051362.053,6469540.486,6768099.162,6516322.18,5976169.174,5385204.474,6614368.626,7754446.667,6364947.009,5504563.919,6679647.142,5275294.002,6980214.849,6413323.007,6624281.448,5893843.983,6315869.854,5786516.62,5985493.005,7085239.543,4389354.92,7874112.052,5511846.33,5732652.065,5957404.212,4344452.184,7559985.758,6295702.112,5948077.651,5866685.19,5173026.367,6495957.53,5617659.597,5534253.997,6016782.116,5698987.191,5791805.816,5387219.176,5489754.738,6092544.87,5702409.662,7663893.935,5636085.58,5936649.261
CHEBI:17750,C5H11NO2,C[N+](C)(C)CC([O-])=O,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",Betaine,118.0858854,,,,285.3685,,,,,,,,,,,,341074766.7,363686961.6,474248611.7,333440119.5,451721916.9,336314510.4,544800635.7,283247952.7,303910464.7,190361952.6,301904378.1,439952356.7,422120156.9,356875958.9,355499803.3,384105999.3,449399888.8,435082742.5,334895480.8,288289787.4,337412193.4,263616598.7,317335408.4,426245220.8,496821103.1,285588742.3,447873517.6,413966755.8,470314077.4,322534228.1,468591404.3,388376520.8,312426298.6,399448954.8,406460115.6,390870155.1,508378774.7,383850483.3,296872997.5,378272151.7,327612908.8,366271408,358102796.2,407877696.1,285867021.3,394084111.2,430622746.8,475886747.6,446892550,443275261.6,405854399.4,400571256.1,418625189.2,600215213.3,335043273.1,502879518.7,477180951.5,399816923.8,400313003.6,394359238.6,390511235.5,404936542.3,418860831.5,406593069.2
CHEBI:31697,C8H7NO,O=C1Cc2ccccc2N1,"InChI=1S/C8H7NO/c10-8-5-6-3-1-2-4-7(6)9-8/h1-4H,5H2,(H,9,10)","1,3-Dihydro-(2H)-indol-2-one",134.0596343,,,,26.9476,,,,,,,,,,,,1652002.423,2425141.36,9648468.416,11823676.63,3842552.535,3670087.086,5713809.034,7126172.923,4280262.132,2303143.645,6480998.365,3813704.316,11012767.94,8924556.892,9248050.161,9528245.004,884721.6188,4478663.225,7130137.068,4343658.139,5586322.335,9857198.253,5157180.807,4990768.094,7258977.419,2630044.486,1997344.997,4452788.222,14623490.03,6956168.722,7814681.74,3331569.649,12541946,15213173.97,8989623.145,8255755.581,10597380.39,20132669.56,18048945.34,14175491.46,9772490.803,12785662.47,5327295.69,13576786.49,10208596.64,6669671.479,39522.93363,15573295.89,3633075.165,13619254.01,5488251.839,8025999.54,6107342.167,9666516.685,21682416.77,15099084.44,14325237.77,8872300.492,9449172.935,8946189.498,9258594.396,9081905.706,9554464.611,10091750.68
